v_id,lon,lat,typ,voltage,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label,voltage_V_node,combined_centrality_score_load,combined_centrality_score_gen,load_MW,generation_MW,load_pu,generation_pu,P_injection_pu,theta_pu
106,7.99288723332679,51.6837077155955,substation,380000.0,0.0125523012552301,0.0019048392667783,6.140189293264212e-05,0.001387673812857,Severe,380000.0,0.1511689433254797,0.10220763320732572,0.0,26.678704411320858,0.0,0.2667870441132086,0.2667870441132086,0.026663801566375787
107,8.62480052815036,51.4278883849265,substation,380000.0,0.006276150627615,0.002452507503964,8.771698990377447e-06,0.0007765994532862,High,380000.0,0.08092918527039844,0.17422889461612648,0.0,45.478023837476464,0.0,0.4547802383747646,0.4547802383747646,0.04954287866866704
108,7.35311186939787,51.5758105020818,substation,380000.0,0.0125523012552301,0.0022626597204833,0.0004736717454803,0.0017566002126918,Severe,380000.0,0.44065159675072435,0.14926290989478008,0.0,38.96128819046989,0.0,0.3896128819046989,0.3896128819046989,0.015009601795969219
109,7.12323882950453,51.5256121803004,substation,380000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,380000.0,0.017166338820918944,0.0,0.0,0.0,0.0,0.0,0.0,0.012454758910097745
110,8.21170597594605,51.1779854801194,substation,380000.0,0.00418410041841,0.0035357730757519,0.0,0.0006409507445151,High,380000.0,0.09109127385874323,0.31668403008609974,0.0,82.66231557593035,0.0,0.8266231557593035,0.8266231557593035,0.043875613553358436
111,6.57648208812114,51.0555954583116,generator,380000.0,0.006276150627615,0.0011276260770807,0.0,0.0006799682060896,High,380000.0,0.03433267764183789,0.0,0.0,0.0,0.0,0.0,0.0,0.00019756120282538392
112,6.77252309438106,51.1471054906194,substation,220000.0,0.006276150627615,0.0028703670587649,1.7543397980754893e-05,0.0008120988923146,High,220000.0,0.09968207163805766,0.22917962972380512,101.69904736608466,0.0,1.0169904736608466,0.0,-1.0169904736608466,-0.0156385257721345
113,6.97265814209706,50.7956761130901,substation,380000.0,0.0209205020920502,0.0016066904477898,0.0001008745383893,0.0022058834843148,Severe,380000.0,0.23734650511227667,0.06299949117330995,0.0,16.444415650120803,0.0,0.16444415650120803,0.16444415650120803,0.014564042632373946
114,7.13689469738717,50.6428608767133,substation,380000.0,0.00418410041841,0.0013143033959176,0.0,0.0004912272786329,Moderate,380000.0,0.02289693112930704,0.024549051900717895,0.0,6.407905933100941,0.0,0.06407905933100941,0.06407905933100941,0.022506234773867012
115,6.45655246642153,50.8713380368705,substation,380000.0,0.0125523012552301,0.002751496508045,4.605141969948159e-05,0.0014318984767453,Severe,380000.0,0.16678988136093154,0.21354752542066086,0.0,55.74115288346677,0.0,0.5574115288346677,0.5574115288346677,0.01880256335607513
116,7.86394571365263,50.7682419129404,substation,380000.0,0.0104602510460251,0.0048679811172622,0.0,0.0013347074443436,Severe,380000.0,0.18348621277966418,0.49187641316378883,0.0,128.39183358329532,0.0,1.2839183358329533,1.2839183358329533,0.014485204809023195
117,6.3216505165612,50.8384088140443,plant,380000.0,0.00418410041841,0.0011276260770807,0.0,0.000478645529068,Moderate,380000.0,0.017166338820918944,0.0,0.0,0.0,0.0,0.0,0.0,0.019222300232684772
118,6.1674083913527,50.8020948257555,substation,380000.0,0.002092050209205,0.0016066904477898,0.0,0.0003096110163253,Low,380000.0,0.014706246131630695,0.06299949117330995,0.0,16.444415650120803,0.0,0.16444415650120803,0.16444415650120803,0.01957043443380956
119,6.70220337779745,51.0088609096753,substation,380000.0,0.0251046025104602,0.0033850412776144,0.0003355174863819,0.0029246349861114,Severe,380000.0,0.48477776055837846,0.2968620037219918,0.0,77.48827949264941,0.0,0.7748827949264941,0.7748827949264941,0.009866186730735454
120,6.61240231530956,51.0359242594819,substation,380000.0,0.006276150627615,0.001834847812631,2.1929247475943617e-05,0.0007459747590328,High,380000.0,0.07085660552256984,0.09300338787546515,0.0,24.27617015010887,0.0,0.24276170150108872,0.24276170150108872,0.01009376049262853
121,6.96568442352005,51.0693295322353,substation,380000.0,0.0230125523012552,0.0016066904477898,0.0001052603878845,0.0024108743515449,Severe,380000.0,0.2574755921763511,0.06299949117330995,0.0,16.444415650120803,0.0,0.16444415650120803,0.16444415650120803,0.007488743599577734
122,7.23319684331545,51.2325069075148,substation,380000.0,0.00418410041841,0.001321268967516,4.385849495188723e-06,0.0004953649371088,Moderate,380000.0,0.02607350744366368,0.025465061299999488,0.0,6.647006900754241,0.0,0.06647006900754242,0.06647006900754242,0.009676449396203822
123,6.30090123786765,50.8289532122665,substation,380000.0,0.002092050209205,0.0011276260770807,0.0,0.0002773228520463,Low,380000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01880256335607513
124,7.44948529010545,50.4025276621126,substation,380000.0,0.0125523012552301,0.0024311522689248,0.0001447330333412,0.0014928420724884,Severe,380000.0,0.22361783747148117,0.1714205685881135,0.0,44.744981718792445,0.0,0.4474498171879244,0.4474498171879244,0.03184394488875694
