from,to,flow_pu,x_pu,theta_from,theta_to,thermal_limit_pu,loading_pct
30,59,-0.25252034286734687,0.01571849030470914,-0.04348401919619712,-0.0395147806350949,3.1073171621069644,8.12663560536323
30,182,-1.898576212145364,0.004960872576177285,-0.04348401919619712,-0.034065424531582636,1.9613848653599064,96.7977394786812
30,356,-0.4454068572640236,0.005630540166204986,-0.04348401919619712,-0.040976137996068904,1.1130759857477992,40.0158536314828
31,32,-1.331321895266299,0.022483206371191135,0.11032957347324607,0.14026195839100358,6.66690486765112,19.969114929569255
31,33,-1.6828600831308829,0.010106994459833795,0.11032957347324607,0.12733823101012534,2.9970089429917453,56.15132003746971
31,49,3.5924377805197425,0.00703722299168975,0.11032957347324607,0.08504878772795764,5.56462697161193,64.55846544335577
31,295,-0.5782558021225607,0.008738227146814404,0.11032957347324607,0.11538250402115637,6.9096822031440785,8.368775655983713
32,33,1.0280035441093003,0.012571675900277008,0.14026195839100358,0.12733823101012534,3.7278565107815025,27.57626376273241
32,77,-1.594755951844261,0.013458795013850415,0.14026195839100358,0.1617254518439934,5.321216467625756,29.96976277035045
32,170,0.3084860553096466,0.04347702479338843,0.14026195839100358,0.12684990251589148,0.6514961541941527,47.350403118068826
32,304,-1.1238814777113615,0.01812448060941828,0.14026195839100358,0.16063172644106752,10.748839467435568,10.455840196667245
32,71,0.727372390813728,0.013510041551246538,0.14026195839100358,0.13043512716788058,5.341477859408632,13.61743715800513
34,35,0.6442814958922403,0.003863801652892562,-0.044932092138536404,-0.047421468047292935,0.05789844013915401,1112.778676495885
34,81,-0.0822220782505883,0.0015477685950413224,-0.044932092138536404,-0.044804831388001114,0.023193060979767203,354.5115425786872
34,158,-0.6370784856315272,0.021930578512396694,-0.044932092138536404,-0.030960592390835408,0.32862615664198125,193.86116191767005
34,266,0.07501906798989581,0.00041454545454545455,-0.044932092138536404,-0.04496319095217585,0.0031059481491486616,2415.3354913686658
35,36,0.36389862023615777,0.0017461157024793387,-0.047421468047292935,-0.048056877142197856,0.02616526016555539,1390.7701201274624
37,38,-0.6276222428166224,0.021567520775623267,0.09766561589573912,0.1112018716569299,12.790756520067616,4.90684223276345
37,74,-1.288869060912715,0.020594182825484763,0.09766561589573912,0.12420882097428643,6.106756103099697,21.105625296849574
37,71,-1.326193315302141,0.024709452908587254,0.09766561589573912,0.13043512716788058,7.327049761209346,18.099963266569244
37,40,0.30744948160610686,0.006508310249307479,0.09766561589573912,0.09566463928345782,1.9298975673189505,15.930870467556543
37,267,0.4046558496494563,0.01341487603305785,0.09766561589573912,0.09223720783663997,0.20101973826547478,201.3015503557424
37,42,0.26254340633668494,0.12865454545454547,0.09766561589573912,0.06388821329140489,1.9278674652084151,13.618332747178878
37,73,-1.4372112146314595,0.03600605955678671,0.09766561589573912,0.14941392848544122,10.676812273166883,13.461051649690228
37,282,0.30238001414420407,0.03028099173553719,0.09766561589573912,0.08850924918644686,0.9075114847273282,33.31969007919029
37,380,4.268847513143705,0.008507513850415514,0.09766561589573912,0.061348336552357226,3.5466608006853835,120.36244098445393
39,40,-0.18422521112084742,0.03391222299168975,0.08941715284323652,0.09566463928345782,10.055930671252767,1.8320055810199478
40,41,0.325312270040974,0.013100069252077563,0.09566463928345782,0.0914030260173705,3.8845400438592175,8.374537689609769
41,42,1.177906926262414,0.023359072022160664,0.0914030260173705,0.06388821329140489,6.9266237385030704,17.005498937596027
42,94,-0.6806686241373439,0.006183518005540166,0.06388821329140489,0.0680971399845644,2.4447833409364983,27.841674668668475
42,97,1.9551113356650156,0.008165339335180054,0.06388821329140489,0.04792406579764292,3.2283379076209,60.560926136317015
42,98,2.207180476751583,0.012403047091412742,0.06388821329140489,0.036512449899008176,4.903804416639343,45.00955358786923
42,191,0.18582058687906275,0.0006168595041322314,0.06388821329140489,0.0637735880963251,0.009243539467801282,2010.2752579392948
42,212,0.18582058687905056,0.027482314049586776,0.06388821329140489,0.058781433565916294,0.4118180118521928,45.12201543669832
42,177,-0.15951944571809867,0.07054942148760329,0.06388821329140489,0.07514221790283988,1.0571716210623832,15.089266732093398
44,45,-0.40027984095724656,0.02564495867768595,0.10840886041350982,0.11867402039436911,0.3842855400611748,104.16208762201293
44,46,-0.14639857088240124,0.006082644628099173,0.10840886041350982,0.10929935089424905,0.09114744169750459,160.6173120780079
