l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max
571.0,269.0,79.0,380000.0,3.0,3.6,50.0,94056.0,0.7310114000000001,22.50665,1233.3644199999999,935.2376799999998
572.0,269.0,79.0,380000.0,3.0,3.6,50.0,94068.0,0.7310114000000001,22.50665,1233.3644199999999,935.2376799999998
573.0,80.0,269.0,380000.0,3.0,3.6,50.0,121638.0,0.9194897999999998,30.6221,1678.0910800000001,1145.8033599999999
574.0,80.0,269.0,380000.0,3.0,3.6,50.0,121608.0,0.9194897999999998,30.6221,1678.0910800000001,1145.8033599999999
575.0,322.0,324.0,220000.0,3.0,2.6,50.0,49216.0,1.8739800000000002,15.746176000000002,565.8782,216.14267999999998
576.0,388.0,252.0,220000.0,3.0,1.6,50.0,9513.0,0.45720799999999995,3.0254079999999997,108.72559999999999,22.012900000000002
577.0,214.0,374.0,220000.0,3.0,2.0,50.0,32787.0,1.310664,10.485312,376.81590000000006,85.19316
578.0,214.0,389.0,220000.0,6.0,1.8,50.0,1688.0,0.06412000000000001,0.504192,18.1194,5.2949
579.0,389.0,374.0,220000.0,3.0,2.0,50.0,33114.0,1.315752,10.526016,378.27869999999996,85.52388
580.0,390.0,24.0,220000.0,3.0,1.0,50.0,24702.0,1.97616,7.90464,284.073,32.1126
581.0,82.0,390.0,220000.0,3.0,1.0,50.0,19436.0,1.55488,6.21952,223.514,25.2668
582.0,22.0,391.0,220000.0,3.0,2.6,50.0,18353.0,0.7349120000000001,5.87392,211.09399999999997,62.05029999999999
583.0,95.0,236.0,220000.0,3.0,2.0,50.0,70909.0,2.83636,22.69088,815.4535,184.3634
584.0,348.0,225.0,220000.0,6.0,2.0,50.0,8808.0,0.350488,2.803904,100.7653,22.78172
585.0,392.0,348.0,380000.0,3.0,4.0,50.0,22980.0,0.1298008,5.77495,316.46726,288.73728
586.0,392.0,393.0,220000.0,3.0,1.8,50.0,10791.0,0.46915199999999996,3.422208,122.9856,30.788939999999997
587.0,392.0,393.0,380000.0,3.0,4.0,50.0,9656.0,0.05983000000000001,2.3931999999999998,131.14736,99.55712
588.0,394.0,225.0,380000.0,4.8,4.0,50.0,27501.0,0.1566306,6.9693,381.91764,348.50192000000004
589.0,188.0,348.0,380000.0,3.0,3.6,50.0,82181.0,0.5822716,20.567600000000002,1127.1044800000002,770.64624
590.0,228.0,395.0,220000.0,3.0,1.8,50.0,12240.0,0.489704,3.917632,140.7899,31.830759999999998
591.0,229.0,395.0,220000.0,3.0,1.6,50.0,77251.0,4.25584,24.315264,873.8298000000001,158.02748
592.0,396.0,397.0,450000.0,3.0,3.2,0.0,266556.0,1.608185,50.793099999999995,2783.46188,1690.7228000000002
593.0,229.0,392.0,220000.0,3.0,2.0,50.0,878.0,0.03336,0.289088,10.389100000000001,2.70972
594.0,210.0,252.0,380000.0,3.0,4.0,50.0,12774.0,0.07979499999999999,3.1917999999999997,174.91064,132.77888000000002
595.0,398.0,252.0,380000.0,3.0,4.0,50.0,30516.0,0.1708844,7.5786,415.30728,377.10608
596.0,398.0,312.0,380000.0,3.0,3.6,50.0,38236.0,0.26818020000000004,9.475,519.2300000000001,355.09136
597.0,399.0,224.0,380000.0,12.0,4.0,50.0,1871.0,0.002923,0.46775,25.6327,77.8336
598.0,214.0,400.0,220000.0,3.0,2.0,50.0,38676.0,1.7089959999999997,12.410432,445.9999000000001,110.61517999999998
599.0,23.0,401.0,220000.0,6.0,2.4,50.0,48412.0,2.2164119999999996,15.480256,556.3217,201.77274
600.0,371.0,336.0,220000.0,3.6,1.6,50.0,39322.0,1.882304,12.573888,451.8741,92.06938
601.0,298.0,303.0,220000.0,3.0,1.8,50.0,104746.0,4.968029400000001,34.0704,1224.405,270.84434
602.0,398.0,312.0,380000.0,3.0,3.6,50.0,38323.0,0.26818020000000004,9.475,519.2299999999999,355.09136
603.0,402.0,54.0,220000.0,3.0,2.0,50.0,9616.0,0.38464,3.07712,110.584,25.0016
604.0,398.0,252.0,380000.0,3.0,4.0,50.0,30516.0,0.1708844,7.5786,415.30728,377.10608
605.0,210.0,252.0,380000.0,3.0,4.0,50.0,12774.0,0.07979499999999999,3.1917999999999997,174.91064,132.77888000000002
