l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,length_m,r,x,c,i_th_max,V_base_kV_line,Z_base_ohms_line,x_pu,I_th_max_kA,P_th_max_MVA_line,P_th_max_pu_line
313.0,68,237,220000.0,3.0,2.2,50.0,25192.0,1.10574,8.04832,289.23650000000004,71.69915999999999,220.0,484.0,0.016628760330578512,0.07169916,27.32104935560223,0.2732104935560223
314.0,238,239,380000.0,3.0,4.0,50.0,56958.0,0.355988,14.2395,780.3246,592.3632,380.0,1444.0,0.009861149584487534,0.5923632,389.88120039495203,3.89881200394952
315.0,67,238,380000.0,3.0,4.0,50.0,18918.0,0.118237,4.7295,259.1766,196.7472,380.0,1444.0,0.0032752770083102492,0.19674719999999998,129.49493572582784,1.2949493572582784
316.0,67,238,380000.0,3.0,4.0,50.0,44132.0,0.275825,11.033,604.6084,458.9728,380.0,1444.0,0.007640581717451523,0.4589728,302.08639937901654,3.0208639937901656
317.0,65,68,220000.0,3.6,2.0,50.0,34375.0,1.224316,10.880704,391.0253,106.05608,220.0,484.0,0.022480793388429753,0.10605608,40.412794182549675,0.4041279418254968
318.0,65,68,220000.0,3.0,2.0,50.0,34375.0,1.224316,10.880704,391.0253,106.05608,220.0,484.0,0.022480793388429753,0.10605608,40.412794182549675,0.4041279418254968
319.0,65,240,380000.0,3.0,4.0,50.0,20861.0,0.130381,5.21525,285.7957,216.9544,380.0,1444.0,0.003611668975069252,0.2169544,142.79489661573604,1.4279489661573603
320.0,240,241,380000.0,3.0,4.0,50.0,4447.0,0.027794,1.11175,60.9239,46.2488,380.0,1444.0,0.000769909972299169,0.0462488,30.440003127854766,0.30440003127854764
321.0,65,241,380000.0,3.0,4.0,50.0,23705.0,0.148156,5.92625,324.7585,246.532,380.0,1444.0,0.004104051246537396,0.246532,162.26226088279677,1.6226226088279676
322.0,226,242,220000.0,3.0,4.0,50.0,73168.0,1.46336,23.41376,841.432,380.4736,220.0,484.0,0.04837553719008265,0.38047359999999997,144.97991335050034,1.4497991335050033
323.0,242,221,380000.0,3.0,4.0,50.0,73219.0,0.457619,18.30475,1003.1003,761.4776,380.0,1444.0,0.012676419667590026,0.7614776000000001,501.18879896973203,5.01188798969732
324.0,243,204,380000.0,3.0,4.0,50.0,5866.0,0.036663,1.4665,80.3642,61.0064,380.0,1444.0,0.0010155817174515235,0.0610064,40.15315006701058,0.4015315006701058
325.0,108,204,380000.0,3.0,4.0,50.0,10617.0,0.066356,2.65425,145.4529,110.4168,380.0,1444.0,0.001838123268698061,0.1104168,72.67405289148505,0.7267405289148505
326.0,164,162,220000.0,3.0,2.0,50.0,25186.0,1.00744,8.05952,289.639,65.4836,220.0,484.0,0.01665190082644628,0.06548359999999999,24.952602897753806,0.24952602897753806
327.0,162,244,380000.0,3.0,4.0,50.0,1221.0,0.007631,0.30525,16.7277,12.6984,380.0,1444.0,0.00021139196675900278,0.0126984,8.357824110436399,0.08357824110436399
328.0,106,245,380000.0,3.0,4.0,50.0,1378.0,0.008613,0.3445,18.8786,14.3312,380.0,1444.0,0.00023857340720221605,0.0143312,9.432499282703816,0.09432499282703816
329.0,66,246,220000.0,3.0,1.6,50.0,64096.0,3.580728,20.542336,738.2402,133.98606,220.0,484.0,0.04244284297520661,0.13398606000000002,51.05554595371385,0.5105554595371385
330.0,124,247,220000.0,3.0,2.0,50.0,73358.0,2.954124,23.508608,844.8406000000001,246.88872,220.0,484.0,0.0485715041322314,0.24688872,94.0772375082422,0.9407723750824221
331.0,232,236,220000.0,3.0,2.0,50.0,50099.0,2.00396,16.03168,576.1385,130.2574,220.0,484.0,0.03312330578512397,0.1302574,49.63473566960089,0.49634735669600893
332.0,248,233,220000.0,3.0,1.0,50.0,59101.0,4.72808,18.91232,679.6615,76.8313,220.0,484.0,0.039075041322314055,0.0768313,29.27665734654467,0.2927665734654467
333.0,66,209,220000.0,3.0,2.0,50.0,13164.0,0.52656,4.21248,151.386,34.2264,220.0,484.0,0.008703471074380166,0.0342264,13.042010027238591,0.1304201002723859
334.0,66,209,220000.0,3.0,2.0,50.0,13157.0,0.52628,4.21024,151.3055,34.2082,220.0,484.0,0.008698842975206612,0.0342082,13.035074895805087,0.13035074895805088
335.0,66,219,220000.0,3.0,4.0,50.0,66405.0,1.3281,21.2496,763.6575,345.306,220.0,484.0,0.04390413223140496,0.345306,131.5792579548433,1.315792579548433
336.0,249,250,220000.0,3.0,2.0,50.0,15315.0,0.6126,4.9008,176.1225,39.819,220.0,484.0,0.010125619834710744,0.039819,15.173076843448726,0.15173076843448727
337.0,251,189,380000.0,3.0,3.8,50.0,33840.0,0.1968468,8.442950000000002,462.67366,386.73752,380.0,1444.0,0.005846918282548477,0.38673752,254.54263285661023,2.5454263285661023
338.0,251,252,380000.0,3.0,4.0,50.0,45638.0,0.2852328,11.4093,625.2296399999999,474.62688,380.0,1444.0,0.00790117728531856,0.47462688000000003,312.3895909032007,3.123895909032007
339.0,253,254,380000.0,6.0,4.0,50.0,78450.0,0.245156,19.6125,1074.765,1631.76,380.0,1444.0,0.013582063711911358,1.63176,1073.9906657882646,10.739906657882646
340.0,90,255,220000.0,3.0,2.0,50.0,21123.0,0.84492,6.75936,242.9145,54.9198,220.0,484.0,0.013965619834710744,0.054919800000000005,20.92725446713467,0.2092725446713467
341.0,14,256,220000.0,3.0,2.0,50.0,51446.0,2.09308,15.980480000000004,574.2985000000001,193.37084,220.0,484.0,0.033017520661157033,0.19337084,73.68418630809987,0.7368418630809986
342.0,112,257,220000.0,3.0,2.0,50.0,3267.0,0.13068,1.04544,37.5705,8.4942,220.0,484.0,0.00216,0.008494199999999999,3.236724913323342,0.03236724913323342
343.0,112,257,220000.0,3.0,2.0,50.0,2955.0,0.1182,0.9456,33.9825,7.683,220.0,484.0,0.001953719008264463,0.007683,2.9276161980013704,0.029276161980013704
344.0,107,110,380000.0,3.0,4.0,50.0,50450.0,0.315313,12.6125,691.165,524.68,380.0,1444.0,0.008734418282548477,0.5246799999999999,345.33351873179055,3.4533351873179057
345.0,76,107,380000.0,3.0,4.0,50.0,33318.0,0.208237,8.3295,456.4566,346.5072,380.0,1444.0,0.005768351800554016,0.3465072,228.06386872360358,2.280638687236036
